date_COVID,state,positive,negative,pending,hospitalized,death,total,Most_Recent_Date,Data_asof
2020-05-17,WI,12543,139674,182,2038,453,152399,Old_Data,2020-05-18
2020-05-17,WV,1490,74000,,,67,75490,Old_Data,2020-05-18
2020-05-17,WY,754,16331,,70,8,17085,Old_Data,2020-05-18
2020-05-16,AK,392,32889,,,10,33281,Old_Data,2020-05-18
2020-05-16,AL,11523,141971,,1387,485,153494,Old_Data,2020-05-18
2020-05-16,AR,4578,77066,,520,98,81644,Old_Data,2020-05-18
2020-05-16,AS,0,105,,,0,105,Old_Data,2020-05-18
2020-05-16,AZ,13631,133157,,1683,679,146788,Old_Data,2020-05-18
2020-05-16,CA,76793,1102333,,,3204,1179126,Old_Data,2020-05-18
2020-05-16,CO,21232,100608,,3842,1150,121840,Old_Data,2020-05-18
2020-05-16,CT,36703,128052,,10946,3339,164755,Old_Data,2020-05-18
2020-05-16,DC,7042,28490,,,375,35532,Old_Data,2020-05-18
2020-05-16,DE,7547,32211,,,286,39758,Old_Data,2020-05-18
2020-05-16,FL,44811,585236,1676,8393,2040,631723,Old_Data,2020-05-18
2020-05-16,GA,37147,283922,,6735,1592,321069,Old_Data,2020-05-18
2020-05-16,GU,154,4365,,,5,4519,Old_Data,2020-05-18
2020-05-16,HI,638,40245,,81,17,40883,Old_Data,2020-05-18
2020-05-16,IA,14328,81972,,,346,96300,Old_Data,2020-05-18
2020-05-16,ID,2389,33299,,213,73,35688,Old_Data,2020-05-18
2020-05-16,IL,92457,469192,,,4129,561649,Old_Data,2020-05-18
2020-05-16,IN,27280,144078,,4389,1741,171358,Old_Data,2020-05-18
2020-05-16,KS,7886,53706,,724,172,61592,Old_Data,2020-05-18
2020-05-16,KY,7444,120290,,1896,332,127734,Old_Data,2020-05-18
2020-05-16,LA,34117,225625,,,2479,259742,Old_Data,2020-05-18
2020-05-16,MA,84933,363156,,8456,5705,448089,Old_Data,2020-05-18
2020-05-16,MD,37968,152207,,6755,1957,190175,Old_Data,2020-05-18
2020-05-16,ME,1648,22092,,214,70,23740,Old_Data,2020-05-18
2020-05-16,MI,50504,307417,,,4880,357921,Old_Data,2020-05-18
2020-05-16,MN,14969,128312,,2039,709,143281,Old_Data,2020-05-18
2020-05-16,MO,10675,128665,,,589,139340,Old_Data,2020-05-18
2020-05-16,MP,21,3318,,,2,3339,Old_Data,2020-05-18
2020-05-16,MS,11123,97353,,1748,510,108476,Old_Data,2020-05-18
2020-05-16,MT,468,25623,,63,16,26091,Old_Data,2020-05-18
2020-05-16,NC,17982,220604,,,652,238586,Old_Data,2020-05-18
2020-05-16,ND,1848,51639,,130,42,53487,Old_Data,2020-05-18
2020-05-16,NE,9772,50206,,,119,59978,Old_Data,2020-05-18
2020-05-16,NH,3464,39212,1401,335,159,44077,Old_Data,2020-05-18
2020-05-16,NJ,145089,330135,,,10249,475224,Old_Data,2020-05-18
2020-05-16,NM,5662,118796,,886,253,124458,Old_Data,2020-05-18
2020-05-16,NV,6662,67002,,,345,73664,Old_Data,2020-05-18
2020-05-16,NY,348232,1030485,,75163,22478,1378717,Old_Data,2020-05-18
2020-05-16,OH,27474,219228,,4870,1610,246702,Old_Data,2020-05-18
2020-05-16,OK,5237,118162,,878,288,123399,Old_Data,2020-05-18
2020-05-16,OR,3612,88587,,699,137,92199,Old_Data,2020-05-18
2020-05-16,PA,61611,266225,,,4403,327836,Old_Data,2020-05-18
